"ADDRESSID","PATID","ADDRESS_STREET","ADDRESS_DETAIL","ADDRESS_CITY","ADDRESS_STATE","ADDRESS_ZIP5","ADDRESS_TYPE","ADDRESS_PREFERRED","ADDRESS_PERIOD_END","ADDRESS_PERIOD_START","ADDRESS_USE","ADDRESS_ZIP9","RAW_ADDRESS_TEXT"
"98","AP115831","27355 Stephen Key","","Christopherhaven","MD","93333","PH","UN","","","HO","",""
"99","AP11589","436 Teresa Land Suite 539","","Paulchester","MD","79486","PH","UN","","","HO","",""
"100","AP11608","126 Maureen Mission","","Hectormouth","MD","27985","PH","UN","","","HO","",""
"101","AP116322","03212 Rodgers Locks","","Port Amandachester","MD","76301","PH","UN","","","HO","",""
"102","AP116720","105 Angela Flat Apt. 071","","Connieview","MD","82418","PH","UN","","","HO","",""
"103","AP116878","282 Bailey Burg Apt. 929","","Lake Charles","MD","62321","PH","UN","","","HO","",""
"104","AP116884","86015 Cody Path","","Brownville","MD","06707","PH","UN","","","HO","",""
"105","AP116908","872 Thomas Lake","","Bethburgh","MD","14922","PH","UN","","","HO","",""
"106","AP116934","5351 Sherman Prairie","","Quinnport","MD","87240","PH","UN","","","HO","",""
"107","AP11727","834 Duran Stravenue Apt. 314","","New David","MD","52260","PH","UN","","","HO","",""
"108","AP11810","933 Rebecca Ranch Apt. 458","","North Colleenberg","MD","65184","PH","UN","","","HO","",""
"109","AP118161","656 Medina Lock Suite 184","","Karenbury","MD","17064","PH","UN","","","HO","",""
"110","AP118173","4324 Holmes Freeway","","Lake Hannahborough","MD","29588","PH","UN","","","HO","",""
"111","AP118209","3860 Morris Cliff Apt. 754","","New Taraside","MD","16819","PH","UN","","","HO","",""
"112","AP118219","3386 Dwayne Street","","Nancymouth","MD","91314","PH","UN","","","HO","",""
"113","AP118268","76501 Sanchez Cliff Apt. 590","","Meredithmouth","MD","13158","PH","UN","","","HO","",""
"114","AP118284","205 Roger Shore Suite 470","","Port Jessicafort","MD","54807","PH","UN","","","HO","",""
"115","AP118320","48744 Sonya Track","","Millerhaven","MD","30280","PH","UN","","","HO","",""
"116","AP118446","7256 Kevin Island","","Malloryside","MD","13446","PH","UN","","","HO","",""
"117","AP118499","7397 Wood Ford Suite 717","","Lindseytown","MD","96015","PH","UN","","","HO","",""
"118","AP118707","147 Gibbs Spring","","New Benjamin","MD","68215","PH","UN","","","HO","",""
"119","AP11875","02339 Tracy Parkways","","Lake Stephanieville","MD","07679","PH","UN","","","HO","",""
"120","AP119187","20449 Sanchez Station Apt. 260","","West Christinaside","MD","21819","PH","UN","","","HO","",""
"121","AP119623","309 Todd Glens","","North Diane","MD","40432","PH","UN","","","HO","",""
"122","AP119659","127 Vincent Hills Suite 032","","North Jasonfort","MD","53467","PH","UN","","","HO","",""
"123","AP119742","61106 Anthony Highway","","Tonibury","MD","88468","PH","UN","","","HO","",""
"124","AP120128","9040 Mccarthy Lodge Suite 819","","Toniville","MD","79413","PH","UN","","","HO","",""
"125","AP12019","3874 Williams Parks","","Lake Natasha","MD","51243","PH","UN","","","HO","",""
"126","AP120276","33289 Michael Forges Apt. 754","","New Steven","MD","05265","PH","UN","","","HO","",""
"127","AP12029","44677 David Club","","North Jillian","MD","17229","PH","UN","","","HO","",""
"128","AP12048","78829 Chelsea Springs Apt. 500","","South Teresa","MD","08479","PH","UN","","","HO","",""
"129","AP120690","6802 Connie Villages Apt. 768","","New Kelly","MD","39925","PH","UN","","","HO","",""
"130","AP120989","50991 Mason Vista Apt. 427","","South Jesse","MD","56103","PH","UN","","","HO","",""
"131","AP121273","50206 Claudia Bypass","","Port Jeanfort","MD","72593","PH","UN","","","HO","",""
"132","AP12162","54151 Mason Cape","","North Walterstad","MD","87191","PH","UN","","","HO","",""
"133","AP121708","8335 Michelle Key","","Candicefort","MD","74127","PH","UN","","","HO","",""
"134","AP121740","20587 Ortiz Gateway Apt. 934","","Browningfurt","MD","52712","PH","UN","","","HO","",""
"135","AP122206","603 Mcdaniel Divide Apt. 262","","Russoport","MD","62318","PH","UN","","","HO","",""
"136","AP122266","3711 Zachary Forest Apt. 942","","West Sarah","MD","59102","PH","UN","","","HO","",""
"137","AP12245","659 Campbell Trail","","Amyshire","MD","63858","PH","UN","","","HO","",""
"138","AP122711","184 Alvarez Cove","","Sanchezport","MD","04982","PH","UN","","","HO","",""
"139","AP122718","55902 Marshall Haven","","East Steven","MD","37568","PH","UN","","","HO","",""
"140","AP12281","88183 Christina Mission Suite 069","","New Mirandamouth","MD","51217","PH","UN","","","HO","",""
"141","AP123156","8774 Jennifer Groves","","Deborahfort","MD","32755","PH","UN","","","HO","",""
"142","AP12327","61798 Gonzalez Cape Apt. 560","","North Dennis","MD","38314","PH","UN","","","HO","",""
"143","AP123288","5575 Williams Greens Suite 867","","Deleonshire","MD","38754","PH","UN","","","HO","",""
"144","AP123415","4896 Jones Centers Suite 435","","West Saraborough","MD","44375","PH","UN","","","HO","",""
"145","AP123415","123 Charles Bypass Suite 023","","Timothybury","MD","82121","PO","UN","","","HO","",""
"146","AP123481","2151 Austin Meadow","","Jillianborough","MD","84751","PH","UN","","","HO","",""
"147","AP123670","437 Christina Stravenue Apt. 576","","Jessicaview","MD","02471","PH","UN","","","HO","",""
"148","AP123675","0395 Michael Rest Apt. 308","","Amandaburgh","MD","46707","PH","UN","","","HO","",""
"149","AP123700","01484 Lopez Cape Apt. 217","","Randallport","MD","86816","PH","UN","","","HO","",""
"150","AP123708","3621 Mcgee Manors","","North Loriville","MD","71629","PH","UN","","","HO","",""
"151","AP123984","10030 Teresa Haven Apt. 423","","East Mariachester","MD","88861","PH","UN","","","HO","",""
"152","AP124069","6481 Michael Circle Suite 550","","New Trevor","MD","78853","PH","UN","","","HO","",""
"153","AP124338","22643 Hernandez Glens","","Hughesborough","MD","14907","PH","UN","","","HO","",""
"154","AP124383","032 Tucker Junctions","","West Davidfort","MD","35436","PH","UN","","","HO","",""
"155","AP12442","9872 Wells Causeway","","Blackburgh","MD","97032","PH","UN","","","HO","",""
"156","AP12449","45249 Price Bridge","","Thomasstad","MD","62704","PH","UN","","","HO","",""
"157","AP124565","802 Paul Mountain Apt. 814","","Williambury","MD","47928","PH","UN","","","HO","",""
"158","AP124883","1785 Clark Land Apt. 563","","Lake Benjamin","MD","14872","PH","UN","","","HO","",""
"159","AP124921","09786 Catherine Trail","","Port Kenneth","MD","13752","PH","UN","","","HO","",""
"160","AP12493","35314 Mitchell Plaza","","Port Tiffanyfurt","MD","89475","PH","UN","","","HO","",""
"161","AP12556","459 Marvin Roads","","East Antoniomouth","MD","80909","PH","UN","","","HO","",""
"162","AP12573","764 Yang Island Apt. 638","","Pamelafort","MD","48729","PH","UN","","","HO","",""
"163","AP125787","12700 Horton Divide","","Angelaton","MD","04630","PH","UN","","","HO","",""
"164","AP126021","8856 Amy Street","","East William","MD","85722","PH","UN","","","HO","",""
"165","AP12608","314 James Springs","","Glennview","MD","69253","PH","UN","","","HO","",""
"166","AP126190","609 Benjamin Branch Suite 891","","East Jeremiah","MD","14515","PH","UN","","","HO","",""
"167","AP12663","78837 Tammy Union","","Hendersonview","MD","49704","PH","UN","","","HO","",""
"168","AP126821","73254 Johnson Unions Apt. 511","","North Edwardmouth","MD","75888","PH","UN","","","HO","",""
"169","AP12726","5635 Lynn Coves Suite 181","","Greenestad","MD","19177","PH","UN","","","HO","",""
"170","AP127277","851 Farmer Trail","","North Ryan","MD","76733","PH","UN","","","HO","",""
"171","AP12757","5721 Aguirre Mount","","New Christopherhaven","MD","81877","PH","UN","","","HO","",""
"172","AP12762","91985 Mary Fort","","Port John","MD","28220","PH","UN","","","HO","",""
"173","AP127691","667 Hudson Overpass","","New William","MD","36834","PH","UN","","","HO","",""
"174","AP12800","604 Taylor Park Apt. 824","","Crawfordstad","MD","66498","PH","UN","","","HO","",""
"175","AP128151","56788 Lindsey Parkways Suite 749","","South Kristaview","MD","52232","PH","UN","","","HO","",""
"176","AP12830","5234 Castillo Loop Suite 376","","Rayport","MD","41153","PH","UN","","","HO","",""
"177","AP12832","0986 Kimberly Throughway","","Lake Jacobmouth","MD","58372","PH","UN","","","HO","",""
"178","AP128333","6087 Dwayne Village Suite 069","","Nelsonberg","MD","58007","PH","UN","","","HO","",""
"179","AP128937","90862 Wilson Cove","","West Richard","MD","08603","PH","UN","","","HO","",""
"180","AP129061","757 Heidi Green","","South Gregory","MD","21390","PH","UN","","","HO","",""
"181","AP129067","9131 Willis Center","","Nicholschester","MD","58485","PH","UN","","","HO","",""
"182","AP12910","604 Meghan Lodge","","Lake Rebeccaton","MD","59115","PH","UN","","","HO","",""
"183","AP129111","8116 Tammy Circle Suite 793","","Robertston","MD","44866","PH","UN","","","HO","",""
"184","AP129297","1155 Alejandro Lane","","Danielletown","MD","70671","PH","UN","","","HO","",""
"185","AP12939","793 Pham Alley Suite 623","","Lake Crystalfurt","MD","93153","PH","UN","","","HO","",""
"186","AP129630","75789 Davis Drive","","West Joshuahaven","MD","14700","PH","UN","","","HO","",""
"187","AP12964","2142 Bryant Park Apt. 523","","South Jennifer","MD","20614","PH","UN","","","HO","",""
"188","AP12967","15396 Owens Ridge","","Lake Valerie","MD","98746","PH","UN","","","HO","",""
"189","AP129676","60341 Matthew Hollow","","Staceyport","MD","48252","PH","UN","","","HO","",""
"190","AP129714","86749 Jacqueline Land","","Rogerport","MD","93207","PH","UN","","","HO","",""
"191","AP12977","20830 Melanie Burgs Apt. 607","","Lake Kendramouth","MD","60170","PH","UN","","","HO","",""
"192","AP12978","978 Brianna Plaza","","West Cindy","MD","52040","PH","UN","","","HO","",""
"193","AP12984","81774 Rebecca Harbor","","North Michaelbury","MD","50641","PH","UN","","","HO","",""
"194","AP129868","9255 Collins Overpass Apt. 859","","South Caseyton","MD","07181","PH","UN","","","HO","",""
"195","AP129870","35700 Karen Glens","","South Jessicashire","MD","44528","PH","UN","","","HO","",""
"196","AP12990","559 Adkins Trace Apt. 393","","East Shannonchester","MD","60537","PH","UN","","","HO","",""
"197","AP12996","691 Christine Branch Apt. 932","","New Sean","MD","83715","PH","UN","","","HO","",""
"198","AP129989","80128 Brittany Garden","","Lake Nicolasside","MD","14643","PH","UN","","","HO","",""
"199","AP12999","9334 Stacey Hill Suite 439","","Hallfurt","MD","87145","PH","UN","","","HO","",""
"200","AP13001","00500 Bethany Haven Apt. 704","","West Terri","MD","02308","PH","UN","","","HO","",""
"201","AP13007","4283 Kathryn Alley","","Jasonstad","MD","12864","PH","UN","","","HO","",""
"202","AP13010","225 Sanchez Plains Apt. 787","","East Timothy","MD","90748","PH","UN","","","HO","",""
"203","AP13014","959 Mcdonald Shores","","North Patrick","MD","88742","PH","UN","","","HO","",""
"204","AP130181","997 Margaret Orchard","","Williamhaven","MD","54386","PH","UN","","","HO","",""
"205","AP13024","028 Moody Road Apt. 812","","Port Brianview","MD","73126","PH","UN","","","HO","",""
"206","AP130320","480 Phillip Park","","Reynoldsmouth","MD","84469","PH","UN","","","HO","",""
"207","AP13058","1150 Cole Meadow Apt. 465","","East Stuart","MD","02349","PH","UN","","","HO","",""
"208","AP13066","786 Kaufman Tunnel","","Fieldsmouth","MD","80086","PH","UN","","","HO","",""
"209","AP13075","836 Scott Underpass Suite 495","","Kevinstad","MD","62517","PH","UN","","","HO","",""
"210","AP13078","397 Cooper Plaza","","Alishaburgh","MD","30107","PH","UN","","","HO","",""
"211","AP13081","26853 Jacob Crossroad Suite 418","","Lake Andrea","MD","03323","PH","UN","","","HO","",""
"212","AP13083","493 Carlos Isle","","New Vincent","MD","50767","PH","UN","","","HO","",""
"213","AP13084","0964 Tanya Wall","","South Amanda","MD","11529","PH","UN","","","HO","",""
"214","AP13093","59904 King Lock","","Port Josephside","MD","66400","PH","UN","","","HO","",""
"215","AP13107","2381 Sheena Light","","Garzachester","MD","67642","PH","UN","","","HO","",""
"216","AP13116","260 Savage Stream Suite 337","","West Alicia","MD","06303","PH","UN","","","HO","",""
"217","AP13120","482 Jason Harbor Suite 010","","North Heatherburgh","MD","23466","PH","UN","","","HO","",""
"218","AP13123","912 Robinson Village","","Port Samuel","MD","91893","PH","UN","","","HO","",""
"219","AP13126","655 Hill Junctions Suite 625","","South Janet","MD","28997","PH","UN","","","HO","",""
"220","AP13136","262 Li Ridge Suite 605","","West Lauren","MD","03866","PH","UN","","","HO","",""
"221","AP13148","7772 Harrell Inlet","","Loganborough","MD","78359","PH","UN","","","HO","",""
"222","AP13152","736 Deborah Ville","","Port Lauren","MD","65489","PH","UN","","","HO","",""
"223","AP131531","2400 David Throughway","","South Stephaniestad","MD","93713","PH","UN","","","HO","",""
"224","AP13166","5447 Miller Pine","","West Carrieberg","MD","90413","PH","UN","","","HO","",""
"225","AP131706","644 Robert Brooks","","Port Kristin","MD","26307","PH","UN","","","HO","",""
"226","AP13173","50677 Ritter Circles","","Lake Amandaport","MD","66822","PH","UN","","","HO","",""
"227","AP13182","0582 Jefferson Cliff Apt. 567","","Melissaton","MD","57191","PH","UN","","","HO","",""
"228","AP13184","23709 Johnson Centers","","South Hannahbury","MD","29702","PH","UN","","","HO","",""
"229","AP131890","7832 Grimes River","","Port Robert","MD","20247","PH","UN","","","HO","",""
"230","AP132087","67559 Smith Grove Suite 386","","Port Morganberg","MD","74958","PH","UN","","","HO","",""
"231","AP132108","8050 Raymond Point Suite 346","","Perezport","MD","09862","PH","UN","","","HO","",""
"232","AP132264","4573 Regina Shoals","","New Kelseyberg","MD","70666","PH","UN","","","HO","",""
"233","AP132402","86978 Cabrera Extension","","East Crystal","MD","60302","PH","UN","","","HO","",""
"234","AP13245","85157 Burke Bypass Suite 866","","Port Mason","MD","45753","PH","UN","","","HO","",""
"235","AP13248","6654 David Garden","","Lake James","MD","78483","PH","UN","","","HO","",""
"236","AP13251","78362 Danielle Island Apt. 676","","Mendozatown","MD","18916","PH","UN","","","HO","",""
"237","AP13256","3133 John River Apt. 802","","Lake Davidburgh","MD","35119","PH","UN","","","HO","",""
"238","AP13265","96760 Thomas Mission","","South Derek","MD","50280","PH","UN","","","HO","",""
"239","AP132741","078 Jordan Ferry Suite 078","","West Peterland","MD","83459","PH","UN","","","HO","",""
"240","AP13276","30136 Nguyen Ports Suite 747","","Bauershire","MD","91272","PH","UN","","","HO","",""
"241","AP13281","4285 Sarah Ramp Suite 356","","Johnstonland","MD","00991","PH","UN","","","HO","",""
"242","AP13284","90139 Palmer Land Apt. 942","","Mcintoshbury","MD","29834","PH","UN","","","HO","",""
"243","AP13287","4548 House Ports Suite 913","","South Alexandra","MD","04118","PH","UN","","","HO","",""
"244","AP13291","08136 Hill Terrace","","South Yolandahaven","MD","80365","PH","UN","","","HO","",""
"245","AP13296","15338 Laura Path Apt. 102","","Pierceberg","MD","70663","PH","UN","","","HO","",""
"246","AP13302","05203 Victoria Meadow","","Randallport","MD","01582","PH","UN","","","HO","",""
"247","AP13305","6568 Thomas Street Suite 398","","Bassside","MD","86220","PH","UN","","","HO","",""
"248","AP13315","30621 Walter Manor","","Annatown","MD","40510","PH","UN","","","HO","",""
"249","AP13319","171 Melinda Island Suite 771","","New Thomasmouth","MD","10803","PH","UN","","","HO","",""
"250","AP13322","7418 Yu Crossroad","","South Larry","MD","08036","PH","UN","","","HO","",""
"251","AP13324","882 Howard Wall Apt. 660","","Rodriguezborough","MD","56855","PH","UN","","","HO","",""
"252","AP133277","86706 Linda Plaza Apt. 639","","Hansonburgh","MD","12207","PH","UN","","","HO","",""
"253","AP133294","021 Jennifer Alley Suite 960","","Lake Charles","MD","77823","PH","UN","","","HO","",""
"254","AP13330","73074 Walls Village","","Lake Heather","MD","06690","PH","UN","","","HO","",""
"255","AP133313","975 Devon Gateway","","Scottshire","MD","91419","PH","UN","","","HO","",""
"256","AP13334","527 Petty Crossroad Suite 784","","East Michelle","MD","70058","PH","UN","","","HO","",""
"257","AP133438","3766 Samantha Shoals","","Wrighthaven","MD","66301","PH","UN","","","HO","",""
"258","AP13346","427 Jennifer Mission Apt. 707","","East Stephenhaven","MD","20565","PH","UN","","","HO","",""
"259","AP13357","166 Pope Fords Suite 281","","West Markmouth","MD","74409","PH","UN","","","HO","",""
"260","AP133612","751 Simmons Valley Suite 844","","West Jeffreyborough","MD","47781","PH","UN","","","HO","",""
"261","AP13365","909 Travis Row","","North Marystad","MD","33511","PH","UN","","","HO","",""
"262","AP133724","9525 Green Views Suite 103","","Johnnyshire","MD","63876","PH","UN","","","HO","",""
"263","AP134100","578 Bridget Locks Suite 863","","New Melissa","MD","31009","PH","UN","","","HO","",""
"264","AP13417","54063 Long Flats Suite 820","","Palmerview","MD","67122","PH","UN","","","HO","",""
"265","AP13420","825 Garcia Forge Suite 463","","Lindsayland","MD","93451","PH","UN","","","HO","",""
"266","AP13424","7138 Laura Cliff Suite 658","","South Charlotte","MD","97511","PH","UN","","","HO","",""
"267","AP13444","32797 Molina Cliff Suite 354","","North Coletown","MD","84416","PH","UN","","","HO","",""
"268","AP13446","26564 Sarah Lodge","","Reginaldstad","MD","25150","PH","UN","","","HO","",""
"269","AP13460","749 Sanchez Manor","","Gatesview","MD","25461","PH","UN","","","HO","",""
"270","AP13469","785 Coleman Ridge","","Danielport","MD","65736","PH","UN","","","HO","",""
"271","AP13476","29298 Christopher Greens","","New Darren","MD","43002","PH","UN","","","HO","",""
"272","AP13483","77140 Lisa Locks Apt. 172","","Silvamouth","MD","48023","PH","UN","","","HO","",""
"273","AP13490","665 Alexander Extensions","","South Cindy","MD","17085","PH","UN","","","HO","",""
"274","AP13493","502 Carrie Cliffs","","West Whitneystad","MD","37504","PH","UN","","","HO","",""
"275","AP135270","951 Robert Spur Suite 563","","Kelleyview","MD","19064","PH","UN","","","HO","",""
"276","AP135282","48127 Flynn Valleys Suite 445","","New Robertstad","MD","92528","PH","UN","","","HO","",""
"277","AP13556","689 Christian Forge","","West Emilyhaven","MD","79885","PH","UN","","","HO","",""
"278","AP13559","9346 Watson Loaf","","Millermouth","MD","27149","PH","UN","","","HO","",""
"279","AP135655","6750 Deleon Mills Apt. 917","","North Stephanie","MD","24225","PH","UN","","","HO","",""
"280","AP13575","010 Cassandra Glens Apt. 476","","Olsonstad","MD","10231","PH","UN","","","HO","",""
